fishid,waterbody,reading,reader,rep,light_type,id,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18,rad19,rad20,rad21,rad22,rad23
ANX091818A020,ANX,CJF_1,CJF,1,R,R-ANX091818A020,2,0.8136867172311065,0.47781358481116476,0.6637449836922803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A020,ANX,LEL_1,LEL,1,R,R-ANX091818A020,2,0.78633202244164,0.4625880705042951,0.6607176317355208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A020,ANX,LSR_1,LSR,1,R,R-ANX091818A020,2,0.48864450665281683,0.3050311296600493,0.411133471924167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A020,ANX,MJS_1,MJS,1,R,R-ANX091818A020,3,0.6319338450660429,0.3290226778348043,0.5013671657224166,0.6319338450660429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A020,ANX,NGA_1,NGA,1,R,R-ANX091818A020,2,0.7795212373525394,0.4701425396489765,0.6428951100230964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A021,ANX,CJF_1,CJF,1,R,R-ANX091818A021,2,0.7230630658892362,0.4099067493978904,0.5964495401260499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A021,ANX,LEL_1,LEL,1,R,R-ANX091818A021,1,0.721594751077912,0.5974620565386711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A021,ANX,LSR_1,LSR,1,R,R-ANX091818A021,2,0.4190367815899435,0.2790535832417976,0.3763146186505818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A021,ANX,MJS_1,MJS,1,R,R-ANX091818A021,2,0.3930795800641105,0.22942184173841465,0.3930795800641105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A021,ANX,NGA_1,NGA,1,R,R-ANX091818A021,2,0.8728733593164013,0.5949483477838406,0.7059382062338314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A023,ANX,CJF_1,CJF,1,R,R-ANX091818A023,2,0.8376128832733485,0.4452015751538284,0.6779472450335872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A023,ANX,LEL_1,LEL,1,R,R-ANX091818A023,2,0.8459205904191281,0.5339752169574777,0.684855590450219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A023,ANX,LSR_1,LSR,1,R,R-ANX091818A023,1,0.47036611384825877,0.37058025583697596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A023,ANX,MJS_1,MJS,1,R,R-ANX091818A023,3,0.7722174417995864,0.39723309848296784,0.6193252376505614,0.7722174417995864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A023,ANX,NGA_1,NGA,1,R,R-ANX091818A023,2,0.6765737325935381,0.36180122582836727,0.5223365307745431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A024,ANX,CJF_1,CJF,1,R,R-ANX091818A024,1,0.7325217680962991,0.49913178645917944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A024,ANX,LEL_1,LEL,1,R,R-ANX091818A024,1,0.6825275263281468,0.46983678787455124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A024,ANX,LSR_1,LSR,1,R,R-ANX091818A024,2,0.6317828106954642,0.4309852360597594,0.4925975727527392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A024,ANX,MJS_1,MJS,1,R,R-ANX091818A024,2,0.5902568939397179,0.38274608980844665,0.5902568939397179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A024,ANX,NGA_1,NGA,1,R,R-ANX091818A024,1,0.7202380486757625,0.5035089968071166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A025,ANX,CJF_1,CJF,1,R,R-ANX091818A025,4,1.1797483943749225,0.3915812078028834,0.6971900377353825,0.9415064664525453,1.0612259575739758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A025,ANX,LEL_1,LEL,1,R,R-ANX091818A025,3,0.8655483995406005,0.45415161474605265,0.5999431349490345,0.7487403007769934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A025,ANX,LSR_1,LSR,1,R,R-ANX091818A025,4,0.6917023137115929,0.3001671063176202,0.4144807597772014,0.5546071736953883,0.6216391067525032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A025,ANX,MJS_1,MJS,1,R,R-ANX091818A025,4,0.7690204771587811,0.358276291814844,0.5174633202789787,0.6322418923902715,0.7690204771587811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A025,ANX,NGA_1,NGA,1,R,R-ANX091818A025,4,1.2457603123484884,0.5255459197288892,0.8466284398477937,1.0420676435140033,1.1519747604056465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A026,ANX,CJF_1,CJF,1,R,R-ANX091818A026,2,1.0141441821989252,0.5955541413055057,0.8196931963760634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A026,ANX,LEL_1,LEL,1,R,R-ANX091818A026,2,0.7927877526706949,0.6422572931015886,0.7289006256949107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A026,ANX,LSR_1,LSR,1,R,R-ANX091818A026,1,0.39469813113831426,0.3165472424961063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A026,ANX,MJS_1,MJS,1,R,R-ANX091818A026,2,0.5951250362697096,0.3745361082510304,0.5951250362697096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A026,ANX,NGA_1,NGA,1,R,R-ANX091818A026,2,0.8348426469229817,0.5711756634188658,0.7120975752627882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
